frequency,monetary,last_order_date,recency,review_score,cluster
1,209.21,2018-02-17 09:17:56,242,5.0,0
1,69.71,2017-11-07 16:17:08,344,5.0,0
1,243.58,2018-07-29 12:22:05,80,5.0,0
1,150.61,2017-11-27 16:07:04,324,5.0,0
1,66.87,2018-03-16 20:42:29,214,1.0,2
1,85.15,2017-02-07 10:26:05,617,4.0,4
1,96.77,2018-08-25 11:58:19,53,4.0,0
1,237.32,2017-08-31 13:55:59,412,1.0,2
1,199.52,2017-08-09 22:23:30,433,5.0,4
1,97.26,2018-07-19 21:42:21,89,4.0,0
1,80.37,2018-05-02 21:32:35,167,5.0,0
1,0.0,2017-06-20 17:53:16,483,1.0,2
1,31.27,2017-11-22 14:16:50,329,5.0,0
1,179.86,2018-06-01 13:30:13,138,4.0,0
1,34.089999999999996,2018-02-01 10:28:21,258,5.0,0
1,112.22999999999999,2017-06-13 11:34:47,491,5.0,4
1,262.58,2017-11-21 22:03:24,329,1.0,2
1,378.90999999999997,2017-12-21 20:55:24,299,4.0,0
1,51.31,2018-07-21 08:38:30,88,5.0,0
1,66.42,2018-07-29 11:15:05,80,5.0,0
1,61.01,2018-01-24 19:00:08,265,5.0,0
1,372.16,2017-07-25 13:31:54,449,3.0,2
1,252.66,2018-03-03 14:42:08,228,5.0,0
1,518.72,2017-10-14 20:53:48,367,3.0,2
1,249.07999999999998,2017-11-24 16:20:38,327,1.0,2
2,112.00999999999999,2017-12-27 21:34:00,293,5.0,3
1,54.33,2017-10-31 18:53:11,350,5.0,0
1,83.47,2018-07-02 23:30:46,106,4.0,0
1,109.0,2018-02-19 11:58:03,240,5.0,0
1,25.41,2018-08-05 21:20:07,72,4.0,0
1,1388.3,2018-04-06 17:20:33,194,5.0,1
1,344.97,2018-07-26 14:00:33,83,4.0,0
1,198.4,2017-12-12 13:30:32,309,5.0,0
1,188.94,2018-02-16 15:45:03,243,4.0,0
1,342.09000000000003,2017-10-18 17:20:25,364,1.0,2
1,190.45,2018-01-20 21:20:55,269,1.0,2
1,21.240000000000002,2017-04-04 05:57:10,561,5.0,4
1,52.97,2018-03-01 14:08:33,230,5.0,0
1,285.63,2018-03-01 11:31:23,230,1.0,2
1,135.13,2018-08-20 14:25:47,58,1.0,2
1,34.66,2017-05-22 18:07:53,512,5.0,4
1,139.09,2017-12-30 15:37:54,291,5.0,0
1,98.52,2018-03-13 13:23:05,218,5.0,0
1,400.9,2017-12-07 09:58:05,314,5.0,0
1,102.93,2018-06-21 22:22:28,117,5.0,0
1,136.11,2018-01-13 22:50:18,276,5.0,0
1,99.92,2017-06-27 10:36:44,477,1.0,2
1,97.99,2017-03-04 13:47:57,592,5.0,4
1,42.38,2018-03-14 22:12:44,216,5.0,0
1,147.26,2018-02-28 16:11:52,231,3.0,0
1,0.0,2017-11-30 16:45:27,321,1.0,2
1,580.0699999999999,2017-05-30 03:02:05,505,5.0,1
1,68.43,2018-06-22 13:52:43,117,5.0,0
1,712.8900000000001,2018-08-19 19:09:43,58,4.0,1
1,91.78999999999999,2017-05-19 00:00:56,516,5.0,4
1,138.41,2018-04-14 18:14:02,185,5.0,0
1,46.01,2018-03-02 00:27:52,229,1.0,2
1,350.56000000000006,2017-11-27 11:09:04,324,1.0,2
1,86.19999999999999,2017-11-16 12:29:37,335,5.0,0
1,140.94,2017-09-14 22:29:52,397,2.0,2
1,129.19,2018-06-27 16:40:01,112,5.0,0
1,135.62,2018-07-26 03:55:07,83,5.0,0
1,75.08,2017-11-09 17:16:38,342,4.0,0
1,22.990000000000002,2017-02-14 23:11:02,609,5.0,4
1,102.64,2018-01-21 14:20:21,269,4.0,0
